0,crime_1d_50m,crime_3d_50m,crime_1w_50m,crime_1m_50m,crime_1d_100m,crime_3d_100m,crime_1w_100m,crime_1m_100m,crime_1d_250m,crime_3d_250m,crime_1w_250m,crime_1m_250m,crime_1d_500m,crime_3d_500m,crime_1w_500m,crime_1m_500m,pressure_1d,pressure_3d,pressure_1w,pressure_1m,temperature_1d,temperature_3d,temperature_1w,temperature_1m,humidity_1d,humidity_3d,humidity_1w,humidity_1m,WindAvgMPH_3DayWindow,WindAvgMPH_1WeekWindow,WindAvgMPH_1MonthWindow,VisibilityAvgMiles_1DayWindow,VisibilityAvgMiles_3DayWindow,VisibilityAvgMiles_1WeekWindow,VisibilityAvgMiles_1MonthWindow,DewPointAvgF_1DayWindow,DewPointAvgF_3DayWindow,DewPointAvgF_1WeekWindow,DewPointAvgF_1MonthWindow,TempAvgF_1DayWindow,TempAvgF_3DayWindow,TempAvgF_1WeekWindow,TempAvgF_1MonthWindow,PrecipitationSumInchesAvg_1DayWindow,PrecipitationSumInchesAvg_3DayWindow,PrecipitationSumInchesAvg_1WeekWindow,PrecipitationSumInchesAvg_1MonthWindow,isWeatherEvent_1d,averageRides_1d,averageDuration_1d,averageRides_3d,averageDuration_3d,averageRides_7d,averageDuration_7d,averageRides_1m,averageDuration_1m,totalRides,UT_Football_Game,ACL,Holidays,SXSW,isMonday,isTuesday,isWednesday,isThursday,isFriday,isSaturday,isSunday,isJanuary,isFebruary,isMarch,isApril,isMay,isJune,isJuly,isAugust,isSeptember,isOctober,isNovember,isDecember,isWeek_0,isWeek_1,isWeek_2,isWeek_3,isWeek_4,isWeek_5,isWeek_6,isWeek_7,isWeek_8,isWeek_9,isWeek_10,isWeek_11,isWeek_12,isWeek_13,isWeek_14,isWeek_15,isWeek_16,isWeek_17,isWeek_18,isWeek_19,isWeek_20,isWeek_21,isWeek_22,isWeek_23,isWeek_24,isWeek_25,isWeek_26,isWeek_27,isWeek_28,isWeek_29,isWeek_30,isWeek_31,isWeek_32,isWeek_33,isWeek_34,isWeek_35,isWeek_36,isWeek_37,isWeek_38,isWeek_39,isWeek_40,isWeek_41,isWeek_42,isWeek_43,isWeek_44,isWeek_45,isWeek_46,isWeek_47,isWeek_48,isWeek_49,isWeek_50,isWeek_51
2016-10-24,5.0,6.333333333333333,6.0,4.967741935483871,14.0,16.666666666666668,14.285714285714286,11.741935483870968,28.0,37.0,36.285714285714285,32.61290322580645,34.0,46.0,45.714285714285715,41.806451612903224,30.15000000000005,30.183333333333366,30.03714285714289,30.03387096774193,70.0,66.33333333333333,75.0,76.38709677419355,63.0,56.666666666666664,62.42857142857143,66.45161290322581,2.6666666666666665,4.571428571428571,3.774193548387097,10.0,10.0,10.0,9.741935483870968,55.0,48.333333333333336,59.714285714285715,62.61290322580645,70.0,66.33333333333333,75.0,76.38709677419355,,,,,1,361.50559999999996,12147.467400000001,484.3546666666628,17782.20616666663,337.19565714285926,9651.255128571396,612.2738580645156,17177.83922258064,390.3232,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-25,3.0,5.0,5.714285714285714,5.0,10.0,14.666666666666666,14.142857142857142,11.806451612903226,26.0,32.666666666666664,35.42857142857143,32.54838709677419,35.0,39.666666666666664,44.714285714285715,41.61290322580645,30.190000000000047,30.17000000000003,30.084285714285745,30.04129032258064,77.0,70.33333333333333,74.0,76.12903225806451,71.0,63.666666666666664,62.714285714285715,66.38709677419355,3.0,4.285714285714286,3.7419354838709675,10.0,10.0,10.0,9.774193548387096,64.0,54.666666666666664,58.857142857142854,62.29032258064516,77.0,70.33333333333333,74.0,76.12903225806451,,,,,0,390.3232,8080.3953,450.8389333333295,14722.134066666631,367.29897142857357,10675.325885714254,611.5108129032253,17089.638090322573,193.14079999999998,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-26,5.0,4.333333333333333,6.0,4.870967741935484,11.0,11.666666666666666,14.0,11.709677419354838,34.0,29.333333333333332,35.285714285714285,32.83870967741935,48.0,39.0,45.285714285714285,42.096774193548384,30.16000000000005,30.166666666666696,30.12857142857146,30.048064516129024,77.0,74.66666666666667,73.0,75.80645161290323,72.0,68.66666666666667,63.42857142857143,66.38709677419355,3.3333333333333335,3.857142857142857,3.6774193548387095,8.0,9.333333333333334,9.714285714285714,9.709677419354838,63.0,60.666666666666664,57.714285714285715,61.935483870967744,77.0,74.66666666666667,73.0,75.80645161290323,0.0,,,,0,193.14079999999998,1276.3231999999998,314.9898666666628,7168.061966666632,363.54514285714504,10132.682357142825,600.7800258064511,16602.049861290314,283.9584,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-27,5.0,4.333333333333333,5.714285714285714,4.838709677419355,15.0,12.0,14.285714285714286,11.935483870967742,36.0,32.0,35.142857142857146,33.32258064516129,42.0,41.666666666666664,44.285714285714285,42.41935483870968,30.12000000000005,30.156666666666695,30.155714285714314,30.05258064516128,76.0,76.66666666666667,71.85714285714286,75.70967741935483,69.0,70.66666666666667,63.142857142857146,65.93548387096774,3.0,3.4285714285714284,3.6129032258064515,10.0,9.333333333333334,9.714285714285714,9.741935483870968,62.0,63.0,56.42857142857143,61.58064516129032,76.0,76.66666666666667,71.85714285714286,75.70967741935483,0.0,,,,0,283.9584,7059.2511,289.1407999999962,5471.989866666631,381.07702857143073,10773.610257142824,601.6621419354834,16619.364858064506,303.77599999999995,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-28,4.0,4.666666666666667,5.142857142857143,4.903225806451613,12.0,12.666666666666666,14.0,12.096774193548388,31.0,33.666666666666664,34.0,33.61290322580645,36.0,42.0,42.714285714285715,42.58064516129032,30.16000000000005,30.146666666666693,30.168571428571457,30.05516129032257,76.0,76.33333333333333,72.14285714285714,75.90322580645162,68.0,69.66666666666667,64.28571428571429,65.25806451612904,2.6666666666666665,2.857142857142857,3.5161290322580645,10.0,9.333333333333334,9.714285714285714,9.838709677419354,62.0,62.333333333333336,56.57142857142857,61.354838709677416,76.0,76.33333333333333,72.14285714285714,75.90322580645162,0.0,4.440892098500626e-16,,,0,303.77599999999995,3979.179,260.29173333332943,4104.917766666632,374.8946285714307,10534.538157142826,609.5119999999995,16766.647596774186,475.5936,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-29,6.0,5.0,5.0,4.967741935483871,16.0,14.333333333333334,14.0,12.32258064516129,36.0,34.333333333333336,33.57142857142857,33.935483870967744,47.0,41.666666666666664,41.714285714285715,43.064516129032256,30.16000000000005,30.146666666666693,30.15857142857146,30.05806451612902,74.0,75.33333333333333,73.42857142857143,75.90322580645162,67.0,68.0,66.71428571428571,65.12903225806451,2.3333333333333335,2.7142857142857144,3.4838709677419355,10.0,10.0,9.714285714285714,9.838709677419354,60.0,61.333333333333336,58.714285714285715,61.29032258064516,74.0,75.33333333333333,73.42857142857143,75.90322580645162,0.0,4.440892098500626e-16,,,0,475.5936,11141.106899999999,354.4426666666628,7393.178999999965,372.7122285714308,9660.323199999968,617.9102451612898,17075.28517419354,638.4112,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-30,6.0,5.333333333333333,4.857142857142857,5.064516129032258,18.0,15.333333333333334,13.714285714285714,12.774193548387096,28.0,31.666666666666668,31.285714285714285,34.32258064516129,38.0,40.333333333333336,40.0,43.67741935483871,30.13000000000005,30.150000000000023,30.152857142857176,30.06096774193547,75.0,75.0,75.0,75.83870967741936,68.0,67.66666666666667,68.28571428571429,65.35483870967742,2.3333333333333335,2.7142857142857144,3.5161290322580645,10.0,10.0,9.714285714285714,9.838709677419354,62.0,61.333333333333336,61.142857142857146,61.354838709677416,75.0,75.0,75.0,75.83870967741936,0.0,4.440892098500626e-16,,,0,638.4112,18547.0348,472.5935999999961,11222.440233333298,378.1012571428593,8890.10824285711,628.5665548387091,17450.374364516123,516.2288,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-31,4.0,5.333333333333333,4.714285714285714,5.064516129032258,13.0,15.666666666666666,13.571428571428571,13.03225806451613,25.0,29.666666666666668,30.857142857142858,34.45161290322581,32.0,39.0,39.714285714285715,43.806451612903224,30.110000000000053,30.133333333333358,30.14714285714289,30.059677419354827,76.0,75.0,75.85714285714286,75.87096774193549,67.0,67.33333333333333,68.85714285714286,65.54838709677419,2.0,2.5714285714285716,3.4193548387096775,10.0,10.0,9.714285714285714,9.838709677419354,63.0,61.666666666666664,62.285714285714285,61.61290322580645,76.0,75.0,75.85714285714286,75.87096774193549,0.0,4.440892098500626e-16,,,0,516.2288,19157.9627,543.4111999999963,16282.034799999965,400.2045714285736,9891.607571428538,625.8680258064511,17648.59258709677,349.0464,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-11-01,5.0,5.0,5.0,5.161290322580645,18.0,16.333333333333332,14.714285714285714,13.32258064516129,36.0,29.666666666666668,32.285714285714285,34.516129032258064,50.0,40.0,41.857142857142854,44.064516129032256,30.050000000000054,30.096666666666692,30.127142857142893,30.056774193548375,73.0,74.66666666666667,75.28571428571429,75.90322580645162,72.0,69.0,69.0,66.12903225806451,2.3333333333333335,2.4285714285714284,3.4516129032258065,8.0,9.333333333333334,9.428571428571429,9.774193548387096,62.0,62.333333333333336,62.0,61.935483870967744,73.0,74.66666666666667,75.28571428571429,75.90322580645162,0.0,4.440892098500626e-16,8.247371040072592e-16,,1,349.0464,6334.8906,501.2287999999962,14679.962699999965,394.3078857142879,9642.249757142823,600.5565935483866,17037.87532580645,212.864,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-11-02,4.0,4.333333333333333,4.857142857142857,5.193548387096774,14.0,15.0,15.142857142857142,13.32258064516129,35.0,32.0,32.42857142857143,34.32258064516129,43.0,41.666666666666664,41.142857142857146,43.58064516129032,29.980000000000057,30.046666666666695,30.101428571428606,30.054193548387087,81.0,76.66666666666667,75.85714285714286,76.25806451612904,72.0,70.33333333333333,69.0,66.35483870967742,3.3333333333333335,2.7142857142857144,3.5806451612903225,9.0,9.0,9.571428571428571,9.741935483870968,71.0,65.33333333333333,63.142857142857146,62.41935483870968,81.0,76.66666666666667,75.85714285714286,76.25806451612904,0.3299999999999976,0.11000000000000044,0.04714285714285797,,1,212.864,2737.8185000000003,359.37973333332957,9410.223933333298,397.12548571428795,9851.034799999965,552.2774193548382,15090.416129032259,99.6816,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
